Feb 08 12:00:36 kingtaco|work	>>>>> BEGIN LOGGING
Feb 08 12:58:13 kingtaco|work	I'm not sure I buy it, but meh
Feb 08 12:58:18 kingtaco|work	I simply don't know
Feb 08 12:58:24 Flameeyes	kingtaco|work, and as time goes on, _if_ they are going to do it, we can change the solution
Feb 08 12:58:32 Flameeyes	it's not like we need to write it in stone once and forever
Feb 08 12:58:33 spb	they are going to
Feb 08 12:58:35 kingtaco|work	what's the solution now then?
Feb 08 12:58:38 spb	it's far too useful not to
Feb 08 12:58:40 Flameeyes	spb, you a time traveler?
Feb 08 12:58:57 kingtaco|pda	anyway
Feb 08 12:58:59 spb	Flameeyes: no; i just know that a lot of people writing C++ code have a vague degree of common sense
Feb 08 12:59:06 Flameeyes	there are a lot of things that are far too useful not to do, but still not many people do that
Feb 08 12:59:21 Flameeyes	spb, so? you can still not be sure of what happens
Feb 08 12:59:28 kingtaco|pda	ahm
Feb 08 12:59:56 kloeri	tr1 is definitely going to be used much more as it's (an upcoming) part of the standard library
Feb 08 12:59:59 Flameeyes	you can't _guarantee_ that anybody is going to use it more than now, at least not grow to a size that would make us good to go with virtuals
Feb 08 12:59:59 spb	i can make an educated guess with reasonable certainty
Feb 08 13:00:07 kloeri	it's not some random library we're talking about
Feb 08 13:00:19 kingtaco|pda	flame what do you propose as a immediate replacement for virtuals?
Feb 08 13:00:45 Flameeyes	kingtaco|pda, well, I would be for first assessing the number of packages that requires the virtuals
Feb 08 13:00:50 Flameeyes	and the number of required virtuals
Feb 08 13:00:54 kingtaco|pda	until more stuff starts using tr1
Feb 08 13:01:16 kingtaco|pda	assume the num doesnt justify virts
Feb 08 13:01:17 Flameeyes	if you get more virtuals, or a size of virtuals that is more or less the same of the packages, I would just use || ( ) rather than virtuals
Feb 08 13:01:21 *	djay-il|work (n=alex@bzq-88-152-191-182.red.bezeqint.net) has joined #gentoo-council
Feb 08 13:01:43 Flameeyes	[which with new-style virtuals is more or less equivalent, just requires peripheral maintainership rather than central]
Feb 08 13:01:55 Flameeyes	if the size justify the use of virtuals, go for it
Feb 08 13:02:01 Flameeyes	adding new-style virtuals has a cost on the tree
Feb 08 13:02:33 spb	if very few packages pick up on tr1 then virtuals have a slight disadvantage
Feb 08 13:02:46 spb	if lots of packages pick up on tr1 then not doing virtuals now has a big disadvantage
Feb 08 13:02:51 Flameeyes	right
Feb 08 13:02:56 spb	the latter is more likely than the former
Feb 08 13:03:07 spb	which brings it down to a question of expected effort, and virtuals win
Feb 08 13:03:14 Flameeyes	I wouldn't asses the likelyness on this, as it's quite debatable
Feb 08 13:03:24 kloeri	out of all the proposed solutions I still prefer the virtuals tbh
Feb 08 13:03:29 spb	ok, assume they're equally likely if you want
Feb 08 13:03:39 spb	the virtuals still win on expected effort
Feb 08 13:03:51 Flameeyes	not for 10 or 20 new virtuals, imho
Feb 08 13:04:06 spb	noone's asking you to create them
Feb 08 13:04:18 kingtaco|work	Flameeyes, working on your assumption that it's not useful, whats the disadvantage(other than a few more files in the tree) to using virtuals?
Feb 08 13:04:47 Flameeyes	spb, I beg you not to get it personal, the council's opinion was asked, I'm saying what I think
Feb 08 13:05:01 g2boojum	Flameeyes: If I may ask, why do you feel that it's debatable?  I'm finding it hard to believe that people won't use new libraries that will be in the C++ standard, but you may well know something I don't.
Feb 08 13:05:12 kingtaco|work	spb, and given that different arches will implement tr1 differently(boost vs gcc) how will virtuals help ?
Feb 08 13:05:32 spb	kingtaco|work: far far easier to put arch? ( ) deps in a virtual than in twelve packages
Feb 08 13:06:06 kingtaco|work	why not a eclass then?
Feb 08 13:06:17 spb	what would the eclass do?
Feb 08 13:06:20 Flameeyes	kingtaco|work, there's at least one bug with virtuals handling right now if you get naming collision, so I wouldn't abuse virtuals too much; the size of the tree is indeed also a concern to me, and more packages you got installed locally more time it takes to create the depgraph
Feb 08 13:06:40 kingtaco|work	the same thing as virtuals but with more control
Feb 08 13:06:51 kingtaco|work	you can add to DEPEND in an eclass
Feb 08 13:06:59 spb	ten virtuals will have zero noticeable impact on the size of the tree
Feb 08 13:07:02 kloeri	well, name collisions shouldn't be an issue as we already know about that
Feb 08 13:07:22 kloeri	just avoid silly name collisions
Feb 08 13:07:23 spb	the chances of someone creating a package named tr1-memory in another category are minimal
Feb 08 13:07:33 Flameeyes	ten virtuals without need every two weeks will kill us most likely
Feb 08 13:07:48 kingtaco|work	every 2 weeks?
Feb 08 13:07:50 kingtaco|work	explain
Feb 08 13:07:52 spb	ten virtuals once with good justification won't
Feb 08 13:07:53 kloeri	ehh, we're not talking about every two weeks at all
Feb 08 13:08:01 Flameeyes	kingtaco|work, just figurative
Feb 08 13:08:04 kingtaco|work	ok
Feb 08 13:08:05 kloeri	this is a fairly rare occasion
Feb 08 13:08:24 Flameeyes	spb, I still have to see the assessment for their justification, I'm not turning them down entirely from the start
Feb 08 13:08:34 spb	Flameeyes: i gave it above
Feb 08 13:08:35 kingtaco|work	Flameeyes, also, if a pkg deps on virtual/tr1-foo then where is the collision?
Feb 08 13:08:44 Flameeyes	I would just assess the number of required packages to be changed before
Feb 08 13:08:49 Flameeyes	kingtaco|work, binpkg generation
Feb 08 13:08:50 kingtaco|work	I'm not aware of this bug
Feb 08 13:08:53 kingtaco|work	ah
Feb 08 13:09:19 Flameeyes	spb, where? I don't see any number in my backlog?
Feb 08 13:09:28 spb	Flameeyes: expected effort
Feb 08 13:09:41 spb	the justification is probabilistic
Feb 08 13:10:01 Flameeyes	I don't really buy it myself, personal though
Feb 08 13:10:48 wolf31o2|mobile	how about we let democracy take over and just vote it out?
Feb 08 13:11:03 spb	i don't see a better option than virtuals
Feb 08 13:11:03 wolf31o2|mobile	(this meeting is kinda dragging on time-wise)
Feb 08 13:11:03 Flameeyes	note: you won't make me change idea repeating the same reasoning, like I'm not considering changing your ideas repeating my opinion
Feb 08 13:11:05 kingtaco|work	I think a TR1_USES="memory pointer"; inherit tr1 would be better than virtuals
Feb 08 13:11:16 Flameeyes	I said what I thought, and then we can vote
Feb 08 13:11:24 kingtaco|work	wolf31o2|mobile, da, I'll get there shortly
Feb 08 13:11:29 kingtaco|work	ok
Feb 08 13:11:32 spb	kingtaco|work: then you've turned a set of virtuals into a great big select-case statement
Feb 08 13:11:35 Flameeyes	kingtaco|work, uhm, there's a problem with useflags though
Feb 08 13:11:51 kingtaco|work	Flameeyes, ?
Feb 08 13:11:56 kingtaco|work	pick a different env var
Feb 08 13:12:07 kingtaco|work	or is there something else?
Feb 08 13:12:14 spb	kingtaco|work: what happens if a package only needs tr1::regex if a given useflag is set?
Feb 08 13:12:16 Flameeyes	kingtaco|work, I mean, if it needs memory or pointer _only_ if an useflag is enabled or disabled
Feb 08 13:12:25 Flameeyes	how would you handle that with variables before inherit?
Feb 08 13:12:31 kingtaco|work	spb, Flameeyes I get ya
Feb 08 13:12:36 Flameeyes	Maybe a bit better would be having inherit tr1
Feb 08 13:12:45 Flameeyes	and then set foo? ( ${TR1_MEMORY_DEPS} )
Feb 08 13:12:57 kingtaco|work	ohh, that looks promising
Feb 08 13:13:02 kingtaco|work	spb, thoughts?
Feb 08 13:13:06 spb	except that that's what virtuals were designed to do
Feb 08 13:13:13 spb	you've just reimplemented the same thing in a different place
Feb 08 13:13:27 kingtaco|work	with more control and less bugs
Feb 08 13:13:31 Flameeyes	spb, yes, that's what I said before too anyway, reimplementing through || () the same thing
Feb 08 13:13:32 spb	not really
Feb 08 13:13:38 Flameeyes	kingtaco|work, it has one problem anyway
Feb 08 13:13:54 spb	i don't see how it gives any more control
Feb 08 13:14:03 Flameeyes	_if_ the packages using tr1 will actually increase, it would become way less performant than new-style virtuals
Feb 08 13:14:25 spb	that is a point
Feb 08 13:14:35 spb	changing the eclass invalidates cache for everything using it
Feb 08 13:14:41 spb	changing a virtual invalidates one cache entry
Feb 08 13:14:46 kingtaco|work	ok, I guess we vote
Feb 08 13:14:50 wolf31o2|mobile	I dislike the eclass idea for one simple reason, we have to leave that crap in the tree forever
Feb 08 13:14:51 Flameeyes	that's why I think we should first get some figures at least on the current tree and maybe maintainer-wanted
Feb 08 13:14:57 spb	plus what wolf31o2|mobile said
Feb 08 13:15:12 spb	ok, Flameeyes votes to do nothing for now and look at numbers
Feb 08 13:15:28 Flameeyes	no.
Feb 08 13:15:33 Flameeyes	I vote to get the figures, and then decide
Feb 08 13:15:39 kingtaco|work	we have 3 possible solutions: 1) each ebuild does it all on it's own 2) a dozen virtuals 3) a eclass
Feb 08 13:15:41 spb	hence do nothing for now
Feb 08 13:15:51 kingtaco|work	or bump it to next month
Feb 08 13:15:57 spb	2
Feb 08 13:16:12 kloeri	my vote is on 2
Feb 08 13:16:17 kingtaco|work	I wouldn't mind bumping it to next month, seems we have more to discuss
Feb 08 13:16:40 wolf31o2|mobile	I'm voting 2... we can always remove virtuals easy enough later, where eclasses we can't
Feb 08 13:16:53 Flameeyes	spb, semantically different, "doing nothing" would also mean not getting the figures
Feb 08 13:16:57 vapier	i vote 2 and vote spb do the work
Feb 08 13:16:58 kloeri	wolf31o2|mobile: agreed
Feb 08 13:17:02 *	hparker has quit (Remote closed the connection)
Feb 08 13:18:02 kingtaco|work	gah, the eclass is so much more powerful, but the problems around the eclasses in general makes it not attractive
Feb 08 13:18:29 wolf31o2|mobile	right
Feb 08 13:18:53 Flameeyes	indeed
Feb 08 13:19:13 kingtaco|work	I reluctantly choose #2, but I think we should see if we can make eclasses suck less(maybe part of wolfs idea on small projects)
Feb 08 13:19:56 wolf31o2|mobile	speaking of... we didn't really get a lot of ideas for that... I'll have to query again and try to keep track of everything... seems things kinda got off-track on that
Feb 08 13:20:22 kingtaco|work	Flameeyes, wanna vote?
Feb 08 13:20:29 Flameeyes	kingtaco|work, I did my vote already
Feb 08 13:20:57 Flameeyes	wolf31o2|mobile, maybe you could use bugs.g.o to track the stuff, now that it is usable :)
Feb 08 13:21:16 kingtaco|work	ok, as I understand it Flameeyes wants to bump to next month so we can do more research
Feb 08 13:21:23 kingtaco|work	everyone vote yes/no please
Feb 08 13:21:32 spb	yes/no on bumping it?
Feb 08 13:21:35 kingtaco|work	da
Feb 08 13:21:38 wolf31o2|mobile	heh... yeah, that's possible... first, I think we need a good idea on what we should be doing
Feb 08 13:21:45 wolf31o2|mobile	ok
Feb 08 13:21:46 wolf31o2|mobile	no
Feb 08 13:21:49 spb	no point
Feb 08 13:22:08 kingtaco|work	kloeri, vapier ? (flameeyes I assume is "yes")
Feb 08 13:22:12 kloeri	no need to defer it imo
Feb 08 13:22:42 kloeri	if somebody comes up with a better solution we can always migrate to that instead of the virtuals
Feb 08 13:22:47 vapier	like the one legged man says, bump it
Feb 08 13:23:13 kingtaco|work	so 3 no, 2 yes
Feb 08 13:23:24 kingtaco|work	(I've yet to vote)
Feb 08 13:24:29 kingtaco|work	I'll vote bump too, but note that option #2 is likely to go into effect next month so that's the timeline
Feb 08 13:24:40 Flameeyes	robbat2 is still missing
Feb 08 13:24:45 kingtaco|work	we got a month to come up with something better
Feb 08 13:24:50 kingtaco|work	yes, he's a slacker today
Feb 08 13:25:04 Flameeyes	kingtaco|work, yeah nothing stops anyone into implementing it out of the tree and be ready to commit it
Feb 08 13:25:21 kingtaco|work	we all kosher?
Feb 08 13:25:25 wolf31o2|mobile	ok, I'll say we bump it, too so we don't end up deadlocked
Feb 08 13:25:25 wolf31o2|mobile	heh
Feb 08 13:25:29 wolf31o2|mobile	make it all official-like
Feb 08 13:25:33 kingtaco|work	hehe
Feb 08 13:25:42 *	spb shrugs
Feb 08 13:26:12 kingtaco|work	spb, would you start planning the implementation of virtuals please
Feb 08 13:26:13 kloeri	ok, so is Flameeyes going to come up with some numbers on packages using tr1?
Feb 08 13:26:18 spb	kingtaco|work: nothing much to plan
Feb 08 13:26:34 spb	it's all ready to be implemented
Feb 08 13:26:44 Flameeyes	kloeri, I would have no idea how to extract those numbers, as I don't know what tr1 consists of
Feb 08 13:26:55 spb	Flameeyes: anything in the std::tr1 namespace
Feb 08 13:27:03 kingtaco|work	spb, aight, can you post the list of virtuals and the lists of the packages that use them?
Feb 08 13:27:05 Flameeyes	spb, just that?
Feb 08 13:27:07 spb	anything using boost::shared_ptr
Feb 08 13:27:15 kingtaco|work	or flameeyes
Feb 08 13:27:23 kingtaco|work	if we're going to bump we should make use of it
Feb 08 13:27:26 spb	anything using hashed containers in C++
Feb 08 13:27:40 Flameeyes	although, there's no point in doing the redudant job, whoever is going to try changing to virtuals will also provide the numbers by indirection
Feb 08 13:27:45 kingtaco|work	spb, but how without looking at every source file can we tell what is using it?
Feb 08 13:28:09 kingtaco|work	I think tha'ts what flameeyes is hinting at
Feb 08 13:28:15 spb	kingtaco|work: by looking at upstream's stated deps
Feb 08 13:28:21 kingtaco|work	for every package?
Feb 08 13:28:37 kingtaco|work	we can't just grep for boost?
Feb 08 13:28:46 spb	same way as you'd figure out who's using python-2.4 features
Feb 08 13:29:03 kingtaco|work	for that I'd look at the deps in the ebuild
Feb 08 13:29:05 kloeri	tr1 isn't any different from other deps in that regard
Feb 08 13:29:06 kingtaco|work	scriptable
Feb 08 13:29:14 kingtaco|work	ok, lemme rephrase
Feb 08 13:29:16 kloeri	you have to look at every single package to determine the deps
Feb 08 13:29:28 kingtaco|work	what should we search for in the ebuild to determine if it's using some tr1 stuff?
Feb 08 13:30:32 kingtaco|pda	boost? gcc4?
Feb 08 13:30:44 kloeri	you can grep for std::tr1 and friends but it source might not always use the std:: qualifier
Feb 08 13:30:45 spb	the most likely indicator is a dep on || ( gcc-4.1 boost )
Feb 08 13:31:00 kingtaco|pda	ok
Feb 08 13:31:25 kingtaco|pda	who's doing that list?
Feb 08 13:31:43 spb	the list of packages doing it right at this moment is fairly meaningless
Feb 08 13:32:09 kingtaco|pda	not to some of us
Feb 08 13:32:27 kingtaco|pda	hence the bump
Feb 08 13:32:33 spb	someone to whom it has meaning can find the list then
Feb 08 13:32:49 spb	as far as i'm concerned it's sensible future proofing as much as anything else
Feb 08 13:33:11 spb	especially since i know that at least one package will continue to use more tr1 features as they become available
Feb 08 13:33:47 kingtaco|work	sure
Feb 08 13:33:50 kingtaco|work	we all know this
Feb 08 13:33:54 kingtaco|work	it's no secret
Feb 08 13:34:58 kingtaco|work	however, a dozen virtuals for only paludis makes no sense.  if we're going to do all the virtuals, it needs to be for all the packages that use tr1
Feb 08 13:35:09 spb	right
Feb 08 13:35:11 kingtaco|work	this is not perl
Feb 08 13:35:21 kingtaco|work	no 17 ways to do one thing :)
Feb 08 13:35:30 spb	so implement the virtuals and then as packages are seen to need them they get made to use them
Feb 08 13:36:01 kingtaco|work	right, and what people want to know is what currently will take advantage of it
Feb 08 13:36:33 *	g2boojum dashes; Thanks for the discussion, all.
Feb 08 13:36:59 kingtaco|work	not future intent
Feb 08 13:37:28 spb	so what you're saying is that there's no point implementing something that will be used in the future if it's not going to be used at the time it's written?
Feb 08 13:37:33 kingtaco|work	so someone raise their hand to figure it out
Feb 08 13:37:38 kingtaco|work	I'm not saying that at all
Feb 08 13:37:44 spb	looks that way
Feb 08 13:37:50 kingtaco|work	gah
Feb 08 13:39:22 spb	if it does turn out to be just two or three packages that need it then it'll only be one virtual we need
Feb 08 13:39:30 spb	which makes it little different from any of the other virtuals in tree
Feb 08 13:39:30 kingtaco|work	one last time, some people want to know what would currently take advantage of said virtuals
Feb 08 13:39:45 kingtaco|work	SOMEONE needs to provide a list
Feb 08 13:39:58 kingtaco|work	who is going to do it?
Feb 08 13:40:28 spb	http://www.google.com/codesearch?hl=en&q=+std::tr1+-gcc+-boost&sa=N is a start
Feb 08 13:40:58 Flameeyes	I would just look at the changes needed to implement virtuals, so if spb is going to show a patch to the tree with the changes needed (or even a cvs up list, if he's not going to blatantly cheat), those numbers suffice to me
Feb 08 13:41:00 kingtaco|work	ebuilds in the tree
Feb 08 13:41:26 kingtaco|work	cat/pkg one per line plain ASCII
Feb 08 13:42:08 kingtaco|work	anyway, this shit takes too much time, someone do it in the next 2 weeks, the topic will come up for vote next month
Feb 08 13:42:22 kingtaco|work	anyone else have any other topic before open floor?
Feb 08 13:42:30 Flameeyes	nothing here
Feb 08 13:42:37 wolf31o2|mobile	I have initial reply-to docs, but I need to fix them
Feb 08 13:43:06 *	avenj (n=avenj@gentoo/developer/avenj) has left #gentoo-council
Feb 08 13:43:13 kloeri	should we discuss the maintainer timeout thingy that drizzt and betelgeuse both suggested or is everybody happy with relying on common sense?
Feb 08 13:43:23 kingtaco|work	I prefer common sense
Feb 08 13:43:27 Flameeyes	common sense goes well for me
Feb 08 13:43:33 spb	common sense
Feb 08 13:43:35 Flameeyes	we discussed that on -core not many months ago too
Feb 08 13:43:57 kloeri	I have spf docs at http://dev.gentoo.org/~kloeri/spf.txt that needs to be guidexml'ified and possibly fixed/expanded upon
Feb 08 13:44:03 spb	tree devs have access to the whole tree for a reason
Feb 08 13:44:10 *	kloeri prefers common sense as well
Feb 08 13:44:12 wolf31o2|mobile	common sense
Feb 08 13:44:26 kingtaco|work	I'm sure vapier goes along with common sense
Feb 08 13:44:33 *	Flameeyes sets modes [#gentoo-council -vv Betelgeuse solar]
Feb 08 13:44:38 *	Flameeyes sets modes [#gentoo-council -v jeeves]
Feb 08 13:44:43 kloeri	nod
Feb 08 13:44:46 kingtaco|work	anything else?
Feb 08 13:44:50 *	Flameeyes sets modes [#gentoo-council -v g2boojum]
Feb 08 13:44:57 kloeri	nothing from me
Feb 08 13:45:16 kingtaco|work	ok, open floor time
Feb 08 13:45:19 *	kingtaco|work sets modes [#gentoo-council -m]
Feb 08 13:45:46 spb	http://www.google.com/codesearch?hl=en&lr=&q=boost%3A%3Ashared_ptr+gentoo.osuosl.org&btnG=Search <== sources in our distfiles mirrors using shared_ptr
Feb 08 13:46:00 vapier	nothing from wolf31o2 about reply-to ?
Feb 08 13:46:06 vapier	err nm i see that comment
Feb 08 13:46:12 kingtaco|work	vapier, he said he's got a doc (mostly) ready
Feb 08 13:46:18 *	Flameeyes hands glasses to vapier
Feb 08 13:46:19 vapier	"council managed projects" ?
Feb 08 13:46:27 wolf31o2|mobile	http://dev.gentoo.org/~wolf31o2/reply-to.xml
Feb 08 13:46:41 kingtaco|work	vapier, my suggestion to that is a group of people to fix up eclass suckage
Feb 08 13:46:58 wolf31o2|mobile	I spoke about that... I didn't really get anything that stood out... so I'm going to pose the question again and tally up the responses, then have us vote on one of them next time around
Feb 08 13:47:05 vapier	k
Feb 08 13:47:18 kingtaco|work	maybe define a "persistant" eclass spec, where the eclass would stay in the cache from compile time
Feb 08 13:47:41 agaffney	are you people still going?
Feb 08 13:47:44 kingtaco|work	so we can remove them from the tree
Feb 08 13:47:48 *	agaffney looks at the clock
Feb 08 13:47:49 kingtaco|work	agaffney, open floor atm
Feb 08 13:47:52 agaffney	ah
Feb 08 13:48:00 agaffney	I missed the meeting...anything "interesting"?
Feb 08 13:48:08 vapier	no
Feb 08 13:48:13 kingtaco|work	not really, a bunch on tr1
Feb 08 13:48:28 agaffney	yeah, I completely ignored that thread on -dev, so I have no idea what that even is :P
Feb 08 13:48:28 kingtaco|work	if noone does the logs I'll send them out when I get home
Feb 08 13:48:35 kingtaco|work	>>>>> OPEN FLOOR
Feb 08 13:48:53 agaffney	>>>>> VAPIER'S MOM
Feb 08 13:49:00 Jokey	another idea that came up more often recently. keywording involves touching the ebuild and thus results in refetch of the whole ebuild just for a change of 1-5 chars.. Proposal: signed separate keywords file per package, syntax like with package.keywords
Feb 08 13:49:09 vapier	someone forgot to commit the logs for 20070111
Feb 08 13:49:23 Flameeyes	Jokey, rsync should handle the changes
Feb 08 13:49:25 kingtaco|work	vapier, iirc that was robbat2, I'll try to get him on it
Feb 08 13:49:45 Jokey	Flameeyes: not talking about who handles it but the amount of useless traffic for it
Feb 08 13:49:48 kingtaco|work	Flameeyes, rsync works with blocks, I question if most ebuilds are larger than one block
Feb 08 13:50:09 vapier	err no, links in index.xml are bokren
Feb 08 13:50:11 vapier	i'll fix em
Feb 08 13:50:13 Jokey	Flameeyes: think of a kde stable keywording... how many ebuilds you refetch...
Feb 08 13:50:17 spb	separating keywords is far more effort than it's worth
Feb 08 13:50:31 Jokey	Flameeyes: and how often as we have more than one arch
Feb 08 13:50:31 spb	and i would question whether it's sensible at all
Feb 08 13:50:55 kingtaco|work	Jokey, the other side to that is it's another block rsync has to fetch
Feb 08 13:51:02 Flameeyes	Jokey, I mean that in theory it should refetch just the part that changed... of course as kingtaco|work said, it might be that it actually refetch all of it anyway
Feb 08 13:51:21 kingtaco|work	plus it takes more FS space
Feb 08 13:51:28 kingtaco|work	for most of the users anyway
Feb 08 13:51:54 Jokey	KingTaco: won't take more space
Feb 08 13:52:02 spb	it takes more FS space, you have to transfer the entire keywords file when it changes anyway, the transition would be completely horrible, it makes the package manager's job far harder, ....
Feb 08 13:52:14 spb	Jokey: "block size"
Feb 08 13:52:23 kingtaco|work	Jokey, how so?  not all of us use reiser with tail packing
Feb 08 13:52:25 spb	more files == more inodes and more space
Feb 08 13:52:27 kingtaco|work	I use ext3
Feb 08 13:52:27 kloeri	you also have additional problems with keeping the keyword file in sync with the ebuilds
Feb 08 13:52:36 Flameeyes	what kloeri said
Feb 08 13:52:51 *	Jokey also notes that we have --whole-file in default portage sync options
Feb 08 13:53:13 Flameeyes	right now you are sure that if you change a package and someone changed the keywords in the mean time you get a collision
Feb 08 13:53:38 Flameeyes	if you got keywords and ebuilds split, you cannot guarantee that if you try to change the dependencies, the keywords are fixed
Feb 08 13:54:33 kingtaco|pda	would require atomic commits
Feb 08 13:54:59 kingtaco|pda	which cvs doesnt directly do
Feb 08 13:55:04 Flameeyes	kingtaco|pda, no, won't help
Feb 08 13:55:34 Flameeyes	atomic commits would help only if you had the keywording file beside the ebuilds
Feb 08 13:55:42 Flameeyes	which would mean having to add _a lot_ of extra files
Feb 08 13:55:54 kingtaco|pda	da
Feb 08 13:55:59 Jokey	11063 atm
Feb 08 13:55:59 Flameeyes	[okay, less files than the current digests, but still a lot]
Feb 08 13:56:15 Flameeyes	Jokey, that's at least 11MB then
Feb 08 13:56:25 Jokey	considering that we are at 145k files already < 10%
Feb 08 13:56:35 Flameeyes	I would still like to avoid it
Feb 08 13:56:40 Flameeyes	would probably be slower on rsync anyway
Feb 08 13:56:51 Flameeyes	as it would still need to resync the keywording file every time
Feb 08 13:57:05 kloeri	I don't see the benefits at all and I think there's several cons to that idea
Feb 08 13:57:07 kingtaco|work	jokey, I guess none of us see the advantage
Feb 08 13:57:08 *	|mpagano| (n=kvirc@pool-70-105-167-163.nwrknj.fios.verizon.net) has joined #gentoo-council
Feb 08 13:57:09 Flameeyes	and rarely there are more than one ebuild changed per package during keywording
Feb 08 13:57:15 kingtaco|work	we'd swap transferring one file for another
Feb 08 13:57:25 Jokey	kingtaco|pda: seems so, have to live with it then
Feb 08 13:57:31 kingtaco|work	and add a whole other bunch of headaches
Feb 08 13:57:32 kloeri	a huge amount of additional files, risk of desynchronisation being the primary ones I guess
Feb 08 13:57:35 Jokey	KingTaco: you have too many aliases in here ;)
Feb 08 13:57:37 spb	ok, so everyone agrees it's a stupid idea?
Feb 08 13:57:40 kingtaco|work	but if there are advantages, please say them
Feb 08 13:57:58 kingtaco|work	we're not mind readers
Feb 08 13:58:06 Jokey	kingtaco|pda: a) transfer b) easier to "overlay" ebuilds for keywording on alt projects
Feb 08 13:58:19 kingtaco|work	transfer?
Feb 08 13:58:25 Flameeyes	I can't see any advantage in transfer
Feb 08 13:58:26 Jokey	file size
Feb 08 13:58:26 kingtaco|work	you're swapping one file for another
Feb 08 13:58:32 Flameeyes	you just change the file to tranfer
Feb 08 13:58:36 kingtaco|work	a packet is a packet
Feb 08 13:58:40 Jokey	err no
Feb 08 13:58:43 Flameeyes	Jokey, and file number to sync
Feb 08 13:58:50 Jokey	I transfer one file for 3 keyworded ebuilds
Feb 08 13:58:56 Jokey	(openldap)
Feb 08 13:59:02 kingtaco|work	so you want one file per pkg
Feb 08 13:59:07 kingtaco|work	for all the keywords
Feb 08 13:59:12 Flameeyes	Jokey, how often would you keyword more than one ebuild for package?
Feb 08 13:59:12 Jokey	being one file with about 2k instead of 3 files each 14k
Feb 08 13:59:15 spb	and when you roll out the change you have to transfer every ebuild and a keywords file for every package
Feb 08 13:59:18 kingtaco|work	all versions of that ebuild in one file
Feb 08 13:59:22 spb	which more than outweighs the saving you'll make
Feb 08 13:59:25 Jokey	Flameeyes: all slotted packages come to mind
Feb 08 13:59:32 Flameeyes	Jokey, how many there are?
Feb 08 13:59:46 kloeri	adding new versions and cleaning out old versions would be a lot more painful that way
Feb 08 13:59:48 Jokey	kde, gnome, ldap, mysql,.....
Feb 08 13:59:50 Flameeyes	and that would only work if you keyword them _at the same time_
Feb 08 14:00:03 ---	robbat2|na is now known as robbat2
Feb 08 14:00:05 robbat2	argh
Feb 08 14:00:05 Flameeyes	Jokey, you never keyword more than one kde slot per time
Feb 08 14:00:06 Jokey	kloeri: if repoman helps on that one
Feb 08 14:00:08 robbat2	overslept :-(
Feb 08 14:00:20 kingtaco|work	robbat2, :(
Feb 08 14:00:28 Flameeyes	robbat2, you didn't lose much
Feb 08 14:00:32 kingtaco|work	robbat2, btw, you need to upload the last meeting minutes
Feb 08 14:00:33 *	solar does not think you are a slacker
Feb 08 14:00:42 *	mpagano has quit (Client Quit)
Feb 08 14:01:08 Jokey	Flameeyes: would even more speak for it as you still only have to transfer the keyword file and not the ebuild and manifest over and over again
Feb 08 14:01:16 robbat2	kingtaco|work, huh, the previous ones should be up? I emailed them as well
Feb 08 14:01:23 Flameeyes	Jokey, you should transfer the manifest too
Feb 08 14:01:27 kingtaco|work	robbat2, vapier pointed it out
Feb 08 14:01:30 kloeri	Jokey: so now you need to cvs rm some ebuild and then run repoman fixmess before committing? :)
Feb 08 14:01:32 Flameeyes	and no it speaks against it
Feb 08 14:01:32 kingtaco|work	I haven't confirmed
Feb 08 14:01:48 Jokey	kloeri: you need to do that currently anyway
Feb 08 14:01:53 Jokey	for redigesting
Feb 08 14:01:57 Jokey	so no difference
Feb 08 14:02:01 vapier	robbat2: the link was broken, i fixed it
Feb 08 14:02:02 Flameeyes	Jokey, repoman commit regenerates manifest, if you didn't know
Feb 08 14:02:08 vapier	it had two 1's instead of three
Feb 08 14:02:10 Jokey	Flameeyes: I know
Feb 08 14:02:19 Flameeyes	then you shouldn't run repoman fix during removal of old ebuilds
Feb 08 14:02:26 kloeri	no, keeping keywords and ebuilds in sync and managing digests is different problems
Feb 08 14:03:01 *	kingtaco|pda has quit (Read error: 104 (Connection reset by peer))
Feb 08 14:03:24 Jokey	well really, I personally don't care as of today I'm on 100 mbit natively at home... but sanchan f.ex is on 56k and he does care about every single byte to transfer as he has to pay for it
Feb 08 14:04:17 Flameeyes	I think that adding more files is just making the situation worse, as we said you end up swapping one file sent to another
Feb 08 14:04:39 Flameeyes	plus two files when you're adding a new ebuild
Feb 08 14:04:40 kingtaco|work	not to sound crass, but I dont think adding this sort of complexity to maybe save a couple bytes is worth it
Feb 08 14:04:52 Flameeyes	I'd consider more sensible to move toward Manifest2 asap
Feb 08 14:04:58 kingtaco|work	indeed
Feb 08 14:05:06 Flameeyes	[and I'm still committing]
Feb 08 14:05:39 Flameeyes	or maybe someone should see what happens for who are under limited network environments to disable --whole-file
Feb 08 14:05:40 Jokey	can't recall it atm, does manifest2 force gpg signed files?
Feb 08 14:05:55 Flameeyes	Jokey, Manifest2 will remove the digest-* files
Feb 08 14:05:58 kloeri	no
Feb 08 14:06:19 kloeri	manifest signing and manifest 2 are separate issues
Feb 08 14:06:29 kingtaco|work	ohh
Feb 08 14:06:31 Jokey	does manifest signing have a glep?
Feb 08 14:06:34 kingtaco|work	a topic for next month
Feb 08 14:06:41 kloeri	not yet
