21:00:03 <ulm>	O.K., let's start
22:31:41 <Betelgeuse>	Calchan: We don't teach new recruits either
22:31:41 <Betelgeuse>	Calchan: I will add a new question based on these votes
22:32:30 <DrEeevil>	Calchan: if there is no enforcement (even after repeatedly pointing out the issue) then there's no motivation to respect the rules
22:32:30 <Betelgeuse>	ulm: Ebuilds must be parseable with =bash-3.2*
22:32:43 <ulm>	Betelgeuse: perfect :)
22:33:24 <leio>	global scope or all of it?
22:33:34 <ulm>	all of it
22:33:37 <Betelgeuse>	leio: all of it
22:33:37 <DrEeevil>	all of it
22:33:38 <leio>	(global scope DEPEND could >bash-4)
22:33:48 <leio>	ok, just to be clear :)
22:33:50 <ulm>	so please vote on: "Ebuilds must be completely parseable with =bash-3.2*, any use of later bash features will be reverted."
22:33:58 <Betelgeuse>	yes
22:34:01 <ulm>	yes
22:34:05 <dertobi123>	yes
22:34:18 <DrEeevil>	yes
22:34:23 <leio>	yes
22:34:25 <lu_zero>	yes
22:34:49 <ulm>	Calchan?
22:34:58 <tanderson>	DrEeevil: rules don't get removed simply because noone obeys them
22:35:15 <DrEeevil>	tanderson: that's how democracy usually works
22:35:29 <Calchan>	DrEeevil, no that's anarchy
22:35:36 <Calchan>	ulm, sorry I lost internet for a while
22:35:54 <Betelgeuse>	DrEeevil: In democracy you take the changes to the people in charge who change the rules
22:35:55 <Calchan>	I'm ok with the wording although I voted against that
22:36:08 <DrEeevil>	civil disobedience
22:36:12 <lu_zero>	well
22:36:14 <ulm>	o.k, so 6 yes, 1 no
22:36:17 <DrEeevil>	the rosa parks kind of thing
22:36:26 <Betelgeuse>	DrEeevil: is not needed if the system works
22:36:27 <lu_zero>	people in charge listen to the other people usually
22:36:42 <leio>	Someone please find out at some point what developer helping features bash-4 would provide to see if we should start thinking of ways how to allow it properly without breaking anything (yes, I realize this will involve glep55 or alternatives, it's for prioritizing work on such a solution or not)
22:36:49 <tanderson>	DrEeevil: and you don't see civil disobedience before going to authority do you?
22:37:06 <DrEeevil>	tanderson: you try to ignore the discussions on the mailinglist about a year ago
22:37:08 <Betelgeuse>	Calchan: You had a timebox?
22:37:08 <Calchan>	you guys can finish this discussion next time you meet at the pub
22:37:18 <lu_zero>	now...
22:37:20 <Betelgeuse>	Any way we are pass 90 mins
22:37:23 <DrEeevil>	tanderson: it was discussed and ignored
22:37:23 <ulm>	we're over time
22:37:25 <Calchan>	Betelgeuse, no, just crappy internet at work
22:37:38 <ulm>	can we still discuss topic 6?
22:37:49 <ulm>	or should we postpone it?
22:38:06 <Betelgeuse>	We can but I will need to go visit neighbourghs shortly
22:38:17 <Betelgeuse>	I will be back in 10 mins
22:38:28 <dertobi123>	postpone.
22:38:31 <lu_zero>	I'd rather postpone
22:39:13 <Calchan>	can we make sure we keep the discussion on this alive so that next time all we need to do is vote?
22:39:19 <ulm>	Calchan: sure
22:39:35 <Calchan>	we should do that more in general by the way
22:39:45 <ulm>	so let's postpone topic 6 "Preservation of file modification times in EAPI 3 "
22:39:52 <Calchan>	council metings are not a good time for technical discussions
22:39:56 <ulm>	right
22:40:13 <ulm>	any other business?
22:40:24 <leio>	When is the next meeting
22:40:26 <dertobi123>	next meeting. when? who's taking care of the agenda?
22:40:27 <ulm>	who will take chair for the next meeting?
22:40:39 <Calchan>	I can if nobody wants
22:40:55 <dertobi123>	what about december 7th? that's in 4 weeks
22:41:17 <ulm>	general question is if we shall keep the 4 weeks interval
22:41:32 <ulm>	we originally said third monday in month
22:41:48 <Calchan>	we may need to start thinking of christmas time, not everybody may be available 4 weeks after dec 7
22:42:09 <leio>	that is 4th January
22:42:22 <dertobi123>	we can do december 7th and something mid-january
22:42:36 <Calchan>	leio, which proves again that I can't count to 4... ;)
22:43:16 <ulm>	so let's note december 7th 19 UTC, calchan prepares agenda and takes the chair
22:43:23 <Calchan>	jan 4th is ok with me although I'll just be flying back from japan after 2 weeks without internet
22:43:35 <Calchan>	ulm, ok
22:43:59 <ulm>	leio: you followup on the upgrade path thingy?
22:43:59 <lu_zero>	Calchan you'll be in tokyo?
22:44:12 <leio>	ulm: yes
22:44:14 <Calchan>	lu_zero, 1h north of tokyo
22:44:21 <ulm>	so, open floor
22:44:23 ---	ulm sets mode -m #gentoo-council
22:44:55 <lu_zero>	Calchan make sure if you could attend the tlug event if you hadn't already ^^;
22:45:15 ---	ulm removes voice from DrEeevil grobian
22:45:26 <Calchan>	lu_zero, when/where? not sure I can make it though
22:46:11 <leio>	fyi, reavertm said bash-4 would mostly provide associative arrays (array indexes with strings instead of just numeric indeces), which is probably not very important to have for ebuild/eclasses
22:46:18 <leio>	ulm: you get to kick me if I don't do so ;)
22:46:42 <ulm>	leio: will do
22:46:54 <ciaranm>	bash 4 has a tr replacement builtin, which is handy. but since it's only handy for global scope things...
22:47:59 <ulm>	one more thing, can somebody get the automatic council reminders going again?
22:48:23 <ulm>	there used to be a ml posting (by vapier I think) two weeks in advance
22:48:25 <leio>	maybe someone could contact vapier and ask to tweak the cron script
22:48:38 <leio>	it's still happening, just with wrong dates at wrong times
22:50:05 <Betelgeuse>	hard to cron when the dates are not solid
22:50:23 <Betelgeuse>	the one who does the agenda should schedule reminders and send them
22:50:35 <ulm>	or that
22:50:43 <ulm>	but I forgot last time
22:51:09 <Betelgeuse>	Calchan: please add a note to your calendar
22:51:27 <ulm>	anyway, seems there are no pressing topics for open floor
22:51:39 <ulm>	so let's call it end of meeting
22:51:46 <ulm>	thanks everybody
22:52:03 <Calchan>	Betelgeuse, thanks ;o)
