Jul 23 19:06:10 <seemant>	ok, let's get started
Jul 23 20:18:38 <g2boojum>	avenj: I didn't mean they need to review it; but they need to make sure there's a link to that faq from the general faq (or some other way of easily finding it)
Jul 23 20:18:44 <avenj>	g2boojum: i agree
Jul 23 20:18:50 <seemant>	avenj: agreed -- where possible we should try and co-ordinate with them so they know about the docs we're bringing online
Jul 23 20:19:10 <avenj>	i think we should perhaps add a section to the main docs page for top-level project documentation (links to it, that is)
Jul 23 20:19:34 <seemant>	which reminds me
Jul 23 20:19:50 <seemant>	klieber: any ETA on when the project pages will be click-to'able?
Jul 23 20:20:19 <klieber>	seemant: pauldv is putting together an index.  as soon as that is done, we'll link to that page from the front page.
Jul 23 20:20:34 <seemant>	klieber: oh excellent! thanks 
Jul 23 20:20:36 <klieber>	in the managers meeting, pauldv was talking about mon. or tues.
Jul 23 20:20:40 <g2boojum>	avenj: I sort-of agree.  Our top-level projects aren't necessarily intuitive for our users, so I'd prefer a more comprehensive solution.
Jul 23 20:20:53 <g2boojum>	avenj: For the short-term, though, a link would be great!
Jul 23 20:21:11 <seemant>	klieber: that's great news
Jul 23 20:21:54 <seemant>	Brandy: GWN?
Jul 23 20:22:41 <Brandy>	Where are we on announcing Dev-Rel to the userbase? I feel that User-Rel at least could be
Jul 23 20:22:55 <tberman>	im wondering if someone is going to look at a potential site redesign for gentoo, imo, and its just my opinion, but the site design is pretty antiquated and difficult to deal with
Jul 23 20:23:06 <klieber>	tberman: yes
Jul 23 20:23:22 <klieber>	tberman: if you know of any professional graphic designers willing to donate their services, please have them contact me
Jul 23 20:23:25 <Stuart>	tberman: site looks fine, but the site map needs fixing
Jul 23 20:23:28 <tberman>	klieber: i do
Jul 23 20:23:35 <klieber>	tberman: cool -- have them drop me a line
Jul 23 20:23:41 <seemant>	anyone object to us announcing User Rel on next week's GWN then?
Jul 23 20:23:47 <klieber>	tberman: daniel also knows a few people as I understand it
Jul 23 20:23:49 <tberman>	klieber: he can be a pain to deal with sometimes, and a bit slow, but he will work for free, and on whatever i tell him too
Jul 23 20:23:54 <g2boojum>	fine w/ me
Jul 23 20:23:54 <klieber>	lol
Jul 23 20:24:05 <tberman>	klieber: it will be easier for you to interface with him through me, trust me
Jul 23 20:24:09 <spyderous>	sounds like a brother
Jul 23 20:24:16 <seemant>	avenj: klieber: spyderous: ?
Jul 23 20:24:17 <tberman>	spyderous: gah, no
Jul 23 20:24:20 <klieber>	tberman: ok -- we can talk more later.
Jul 23 20:24:20 <seemant>	coredumb: ?
Jul 23 20:24:22 <tberman>	klieber: k
Jul 23 20:24:23 <klieber>	seemant: no objections
Jul 23 20:24:28 <spyderous>	sounds good
Jul 23 20:24:30 <coredumb>	seemant: ok
Jul 23 20:24:30 <tberman>	klieber: the issue for me is less graphics and more general interface
Jul 23 20:24:41 <avenj>	seemant: no objections
Jul 23 20:24:51 <seemant>	Brandy: as you say, so it will be
Jul 23 20:24:59 <Brandy>	excellent :)
Jul 23 20:25:05 <seemant>	thanks everyone
Jul 23 20:25:12 <seemant>	sorry to have let it run over as it did
Jul 23 20:25:15 <Brandy>	before we go
Jul 23 20:25:27 <Brandy>	can we set up a set time for meetings?
Jul 23 20:25:44 <seemant>	may as well, since we're all here
Jul 23 20:26:06 <seemant>	the more restrictive people seem to be: coredumb & Brandy, possibly g2boojum and klieber
Jul 23 20:26:21 <klieber>	this time works well for me.
Jul 23 20:26:23 <coredumb>	i'm not restrictive, just tired.. :)
Jul 23 20:26:38 <seemant>	coredumb: well, I'd like to be able to accommodate something more convenient for you
Jul 23 20:26:46 <Brandy>	coredumb: what's the local time?
Jul 23 20:26:53 <coredumb>	03:27
Jul 23 20:27:04 <Brandy>	coredumb: ouch
Jul 23 20:27:27 <spyderous>	how about 2100 utc tuesdays?
Jul 23 20:27:48 <klieber>	can't do that, personally
Jul 23 20:27:54 <klieber>	but I'm not sure how much time I'm going to have.
Jul 23 20:28:01 <klieber>	so if that works for everyone else, please go ahead with it.
Jul 23 20:28:02 <tberman>	god with this utc stuff, i cant figure it out
Jul 23 20:28:08 <coredumb>	hmm
Jul 23 20:28:18 <g2boojum>	tberman: date -u
Jul 23 20:28:19 <tberman>	5pm tuesdays eastern?
Jul 23 20:28:31 <tberman>	g2boojum: yes, i know that, but then i have to still do the basic math ;p
Jul 23 20:28:44 <coredumb>	midnight here
Jul 23 20:28:48 <spyderous>	klieber: when can you?
Jul 23 20:28:59 <coredumb>	any chance to have that on monday?
Jul 23 20:29:16 <seemant>	coredumb: manager's meeting is 1800 UTC on monday
Jul 23 20:29:25 <spyderous>	how about 2000 utc monday 
Jul 23 20:29:26 <klieber>	spyderous: really, about all I can do is in the 0200 - 0400 UTC timeframe  in weekly meetings.
Jul 23 20:29:27 <seemant>	coredumb: we can do it before or after I suppose
Jul 23 20:29:33 *	Stuart waves goodnight
Jul 23 20:29:35 <spyderous>	oh, bummer klieber
Jul 23 20:29:37 <--	Stuart (~stuart@myrddraal.demon.co.uk) has left #gentoo-devrel
Jul 23 20:29:47 <klieber>	like I said -- you shouldn't schedule around me.
Jul 23 20:30:02 <coredumb>	hm, is friday night (here) ok?
Jul 23 20:30:04 <seemant>	klieber: eh? 02 - 04?
Jul 23 20:30:11 <seemant>	klieber: aren't you in bed by then
Jul 23 20:30:11 <seemant>	?
Jul 23 20:30:15 <tberman>	seemant: UTC
Jul 23 20:30:18 <klieber>	UTC? no
Jul 23 20:30:21 <coredumb>	23UTC friday???
Jul 23 20:30:27 <coredumb>	er
Jul 23 20:30:27 <spyderous>	that's...10p-12a eastern?
Jul 23 20:30:29 <klieber>	that's 8pm - 10pm my time
Jul 23 20:30:30 <coredumb>	tooooooooo many ? :)
Jul 23 20:30:53 <seemant>	klieber: oh I thought it was 10-midnight your time
Jul 23 20:31:06 <klieber>	oops -- I was wrong.
Jul 23 20:31:11 <g2boojum>	coredumb: My wife rather likes spending Friday nights w/ her husband.
Jul 23 20:31:18 <klieber>	so I can do most things 2300 - 0100 UTC
Jul 23 20:31:21 *	klieber hugs date -u
Jul 23 20:31:28 <seemant>	g2boojum: cool, then when she's gone you can meet with us :P
Jul 23 20:31:36 <tberman>	hah
Jul 23 20:31:40 <spyderous>	could work wednesday
Jul 23 20:31:40 <spyderous>	but way too late for coredumb, maybe Brandy too
Jul 23 20:31:40 <coredumb>	hm
Jul 23 20:31:43 <coredumb>	thursdays?
Jul 23 20:31:56 <seemant>	Brandy: what's your free times?
Jul 23 20:32:00 <seemant>	coredumb: what are yours?
Jul 23 20:32:02 <Brandy>	spyderous: what time is too late for me?
Jul 23 20:32:09 <spyderous>	Brandy: i have no idea.
Jul 23 20:32:19 <seemant>	does 2300-0100 UTC on any weekday suit anyone?
Jul 23 20:32:19 <coredumb>	seemant: depends if i work or not :)
Jul 23 20:32:28 <Brandy>	I'm ok 2300-0100 UTC Sundays and Wednesdays
Jul 23 20:32:36 <g2boojum>	seemant: works for me.
Jul 23 20:32:46 <coredumb>	but i never work fridays, saturdays and usually not tuesdays
Jul 23 20:33:05 <spyderous>	that's bad monday, and open at 2400 wednesday
Jul 23 20:33:06 <coredumb>	seemant: too late usually
Jul 23 20:33:52 <seemant>	klieber: lunchish hour for you on another day?
Jul 23 20:34:27 <seemant>	Brandy: can you go earlier on any particular day?
Jul 23 20:34:36 <klieber>	seemant: I can't do any more daily meetings -- one a week is about all I can work into my schedule.
Jul 23 20:34:45 <klieber>	"daily" meaning during the workday for me
Jul 23 20:34:49 <seemant>	klieber: understood
Jul 23 20:35:00 <Brandy>	seemant: I could do 2100 - 2300 UTC any weekday
Jul 23 20:35:09 <tberman>	why dont you guys try a during the weekend meeting
Jul 23 20:35:28 <coredumb>	tberman: i'm trying.. :)
Jul 23 20:35:30 <spyderous>	weekends are bad except sunday from about..2300 on
Jul 23 20:35:30 <tberman>	like a early afternoon sunday, would be late sunday for coredumb, and early sunday for brandy (i think)
Jul 23 20:35:43 <seemant>	early monday for her
Jul 23 20:35:51 <klieber>	sunday is wife day for me.
Jul 23 20:35:54 <tberman>	oh
Jul 23 20:35:57 <klieber>	sunday evenings are generally OK.
Jul 23 20:36:05 <tberman>	see, im so eastern time zone centric, i forgot about the IDL
Jul 23 20:36:33 <seemant>	honestly seems like wedesday 2300 UTC is the most convenient :/
Jul 23 20:36:36 <coredumb>	hrhr, here we work on sundays..
Jul 23 20:38:15 <seemant>	we can try to do a lot more discussion on the mail alias though
Jul 23 20:38:32 <coredumb>	hm, yea
