Apr 15 15:00:10 <NeddySeagoon>	rool Call
Apr 15 16:13:36 <robbat2>	not really
Apr 15 16:13:49 <quantumsummers|c>	ah, not as big as I thought
Apr 15 16:14:17 <robbat2>	maybe in future, not rightn ow
Apr 15 16:14:30 <robbat2>	can we wrap up soon, i have a different meeting in 15 mins
Apr 15 16:14:32 <NeddySeagoon>	New Business LinuxExpo Funding 
Apr 15 16:14:55 <dabbott>	for LinuxExpo Funding we need a bug opened and some spicif amounts etc
Apr 15 16:14:58 <robbat2>	we already nixed travel funding for devs when tampakrap asked last meeting
Apr 15 16:15:06 <dabbott>	spacific
Apr 15 16:15:21 <robbat2>	*specific
Apr 15 16:15:26 <dabbott>	lol
Apr 15 16:15:27 <rich0>	Yup, suggest that he write up a proposal per the usual process.  Most likely the amount that should be planned on is a few hundred dollars like with most venues.
Apr 15 16:15:31 <dabbott>	thank you 
Apr 15 16:15:33 <NeddySeagoon>	yep.  Our budget won't do much more then provide DVDs, and decorate the stand
Apr 15 16:15:38 <quantumsummers|c>	tampakrap: see above
Apr 15 16:15:44 <quantumsummers|c>	re: linux expo
Apr 15 16:15:51 <tampakrap>	i'm watching
Apr 15 16:16:04 <quantumsummers|c>	tampakrap: why rotate the g logo?
Apr 15 16:16:09 <quantumsummers|c>	that is messed up, yo
Apr 15 16:16:24 <quantumsummers|c>	rotate the lizard and see how suzy feels
Apr 15 16:16:26 <tampakrap>	it's just an idea, to create a combined logo for the conf
Apr 15 16:16:31 <quantumsummers|c>	I see
Apr 15 16:16:34 <robbat2>	afk, doorbell
Apr 15 16:16:35 <quantumsummers|c>	well good fun
Apr 15 16:16:37 <rich0>	Actually, I thought the idea wasn't bad.
Apr 15 16:16:48 *	quantumsummers|c quiets down 
Apr 15 16:16:48 <rich0>	I'd just probably skew it a little, not a full 90 deg
Apr 15 16:17:23 <tampakrap>	ok
Apr 15 16:17:41 <tampakrap>	well, the important thing here is if the foundation (and the community) actually needs such an event
Apr 15 16:17:57 <tampakrap>	I believe it is a good opportunity for us, since the costs will be covered already
Apr 15 16:18:32 <NeddySeagoon>	Cleanup ...
Apr 15 16:18:37 <NeddySeagoon>	Date of Next Meeting - 20th May 2012 19:00 UTC
Apr 15 16:18:42 <NeddySeagoon>	works for me
Apr 15 16:18:45 <quantumsummers|c>	wfm
Apr 15 16:18:49 <dabbott>	fine here
Apr 15 16:19:12 <dabbott>	I will do the log and the motion
Apr 15 16:19:35 <NeddySeagoon>	dabbott, it looks like you get to post the log and do the motions this month
Apr 15 16:19:44 <NeddySeagoon>	and there are no emails
Apr 15 16:19:54 <NeddySeagoon>	Open Floor ...
Apr 15 16:21:04 <robbat2>	tampakrap, i'm in favour of the event, but i can't justify the foundation budget for airfares
Apr 15 16:21:24 <NeddySeagoon>	robbat2, ++
Apr 15 16:21:52 <tampakrap>	ok
Apr 15 16:22:07 <tampakrap>	will someone open a bug for the event then?
Apr 15 16:22:07 <robbat2>	tampakrap, also, the date isn't listed in the original email at all
Apr 15 16:22:29 <tampakrap>	it will be held in mid-october, no final date yet
Apr 15 16:23:51 *	NeddySeagoon starts waving the gavel
Apr 15 16:23:54 <dabbott>	ok I will send an email to the trustees to help me define the Secretary duties, I have a couple questions
Apr 15 16:24:23 <NeddySeagoon>	dabbott, look in the bylaws ...
Apr 15 16:24:37 <dabbott>	ok
Apr 15 16:24:52 <NeddySeagoon>	any more open floor ?
Apr 15 16:25:19 <quantumsummers|c>	none from me
Apr 15 16:25:28 *	NeddySeagoon bangs the gavel to close the meeting

