Dec 13 14:23:20 <quantumsummers>	1. Roll Call
Dec 13 16:09:31 <NeddySeagoon>	just to make sure they don't trade at a loss
Dec 13 16:10:00 <robbat2|na>	some vendors put their profit into shipping costs
Dec 13 16:10:00 <NeddySeagoon>	Like the GPL-2 statement on source code
Dec 13 16:10:30 <NeddySeagoon>	Vendors are permitted to change for shipping
Dec 13 16:11:40 <NeddySeagoon>	Like the GPL-2 statement on source code  ....   comments
Dec 13 16:11:42 <NeddySeagoon>	?
Dec 13 16:12:12 <quantumsummers>	I am ok with that.
Dec 13 16:12:32 <NeddySeagoon>	ok
Dec 13 16:12:55 <NeddySeagoon>	Special Member Voting ... have we done that one ?
Dec 13 16:12:55 <quantumsummers>	we can always refine that with the legal counsel
Dec 13 16:13:19 <NeddySeagoon>	Hmm the GPL-2 has stood the test of time
Dec 13 16:13:28 <NeddySeagoon>	but yes, we can
Dec 13 16:13:29 <quantumsummers>	We have a tentative return in favor of the action
Dec 13 16:13:52 <robbat2|na>	it's only been tested in some jurisdictions, it's mostly been settled out of court
Dec 13 16:14:06 <NeddySeagoon>	Sorry - I went backwards - we are on bugs
Dec 13 16:14:16 <NeddySeagoon>	296492  "Agenda" links are wrong 
Dec 13 16:14:43 <dabbott>	thats done, plus discussed before
Dec 13 16:14:50 <robbat2|na>	i discussed that w/ the minutes stuff above
Dec 13 16:14:51 <NeddySeagoon>	ok
Dec 13 16:14:54 <quantumsummers>	close the bug please
Dec 13 16:15:07 <robbat2|na>	when i've made the changes
Dec 13 16:15:09 <robbat2|na>	i will
Dec 13 16:15:16 <quantumsummers>	thanks
Dec 13 16:15:26 <NeddySeagoon>	296766 Corrections to corporation filing needed as of 2009/12/13 we discussed this with tsunam before
Dec 13 16:15:35 <robbat2|na>	yup, i just made that bug per the meeting
Dec 13 16:15:37 <quantumsummers>	yes
Dec 13 16:16:13 <NeddySeagoon>	5.  New Business 
Dec 13 16:16:28 <NeddySeagoon>	OSUOSL Donation
Dec 13 16:17:01 <quantumsummers>	I am for a donation
Dec 13 16:17:15 <dabbott>	me also
Dec 13 16:17:21 <NeddySeagoon>	I can go with Solars 6* number of devs
Dec 13 16:17:26 <robbat2|na>	ditto, but a smaller amount
Dec 13 16:17:36 <robbat2|na>	as some devs are donating on their own
Dec 13 16:17:47 <NeddySeagoon>	robbat2|na, what did you have in mind ?
Dec 13 16:17:51 <quantumsummers>	I would support a $1000 donation
Dec 13 16:17:56 <tsunam>	that should not be a consideration robbat2|na 
Dec 13 16:17:58 <quantumsummers>	at the Patron level
Dec 13 16:18:25 <robbat2|na>	i'd be happy with an even $1k
Dec 13 16:18:41 <quantumsummers>	http://osuosl.org/friends/members
Dec 13 16:18:46 <quantumsummers>	we get a nice link ^^
Dec 13 16:19:01 <tsunam>	which is a side benefit
Dec 13 16:19:06 <quantumsummers>	who gets the beer mugs?
Dec 13 16:19:10 <quantumsummers>	:P
Dec 13 16:19:11 <tsunam>	not areason for donating
Dec 13 16:19:33 <quantumsummers>	we donate becase OSL has been incredible to Gentoo
Dec 13 16:20:15 <quantumsummers>	I linked to that mainly so you guys see how they are doing things. Its a nice campaign they put together
Dec 13 16:20:19 <NeddySeagoon>	I was thinging of more than $1000 but I can go with that 
Dec 13 16:20:46 <NeddySeagoon>	quantumsummers, I thought that too - we can learn from it
Dec 13 16:20:56 <robbat2|na>	i need to finish getting pictures off my camera, and put up those of our hardware at OSL
Dec 13 16:21:08 <quantumsummers>	I would love to see those
Dec 13 16:21:09 <NeddySeagoon>	I look like we have 2 or 3 suggestions of $1000
Dec 13 16:21:26 <quantumsummers>	we can always donate more at a later date
Dec 13 16:21:51 <NeddySeagoon>	It looks like this will be an annual thing, not a one off event
Dec 13 16:22:07 <quantumsummers>	Motion: Donate $1000 to OSU OSL for their 6for6 campaign. Deliver by 01 Jan. 2010
Dec 13 16:22:18 <NeddySeagoon>	Motion - Donate $1000 to OSL   
Dec 13 16:22:19 <robbat2|na>	aye
Dec 13 16:22:26 <quantumsummers>	aye
Dec 13 16:22:31 <NeddySeagoon>	aye
Dec 13 16:22:33 <dabbott>	yes
Dec 13 16:22:56 <dabbott>	Patron - $1,000 Annual Donation
Dec 13 16:23:19 <NeddySeagoon>	tsunam, ?
Dec 13 16:23:40 <quantumsummers>	tsunam: please write them a check. once we have sent it to them we can put a news item up.
Dec 13 16:23:49 <tsunam>	will do
Dec 13 16:23:56 <quantumsummers>	thank you
Dec 13 16:23:59 <solar>	thank you
Dec 13 16:24:13 <quantumsummers>	solar: thanks for bringing it to our attention
Dec 13 16:24:25 <NeddySeagoon>	6 Membership Applications 
Dec 13 16:24:44 <NeddySeagoon>	Block vote for devs please
Dec 13 16:24:53 *	NeddySeagoon votes yes
Dec 13 16:24:53 <tsunam>	dev's aye
Dec 13 16:24:53 <quantumsummers>	aye
Dec 13 16:25:01 <robbat2|na>	aye
Dec 13 16:25:02 <dabbott>	yes
Dec 13 16:25:10 <NeddySeagoon>	carried
Dec 13 16:25:36 <quantumsummers>	I will add them to my list on Monday
Dec 13 16:25:49 <NeddySeagoon>	Community Members
Dec 13 16:25:49 <NeddySeagoon>	Community Members
Dec 13 16:25:49 <NeddySeagoon>	Community Members
Dec 13 16:25:57 <NeddySeagoon>	Sorry
Dec 13 16:25:58 <quantumsummers>	both have been approved already
Dec 13 16:26:09 <quantumsummers>	prior to teh election recording date
Dec 13 16:26:15 <NeddySeagoon>	They were all accepted on the -ml
Dec 13 16:26:29 <quantumsummers>	I have Lefebvre's key now
Dec 13 16:26:47 <NeddySeagoon>	7 Date of Next Meeting - 17th Jan 2010 19:00 UTC
Dec 13 16:26:53 <quantumsummers>	+1
Dec 13 16:26:59 <NeddySeagoon>	+1
Dec 13 16:27:03 <dabbott>	+1
Dec 13 16:27:04 <robbat2|na>	+1
Dec 13 16:27:45 <NeddySeagoon>	I think that this will be our last meeting before nominations start in February 2010 too
Dec 13 16:28:04 <robbat2|na>	yes
Dec 13 16:28:12 <NeddySeagoon>	myself. tsunam and dabbott are up for election by rotation
Dec 13 16:28:22 <tsunam>	*nods*
Dec 13 16:28:45 <quantumsummers>	Will you three be running as incumbents? 
Dec 13 16:29:18 <NeddySeagoon>	We need to set a recording date for the election .... do we know who our voters are.
Dec 13 16:29:33 <NeddySeagoon>	quantumsummers, I'm still considering that
Dec 13 16:30:00 <dabbott>	quantumsummers, explain?
Dec 13 16:30:04 <quantumsummers>	NeddySeagoon: Ok.
Dec 13 16:30:13 <NeddySeagoon>	The recording date needs to be either our Jan or Feb meeting
Dec 13 16:30:43 <quantumsummers>	dabbott: I am curious if everyone is planning to run for another term.
Dec 13 16:30:43 <NeddySeagoon>	any thoughts ?
Dec 13 16:30:50 <quantumsummers>	NeddySeagoon: Feb will be fine
Dec 13 16:30:54 <NeddySeagoon>	ok
Dec 13 16:30:57 <quantumsummers>	when is the election?
Dec 13 16:31:02 <quantumsummers>	:D
Dec 13 16:31:11 <quantumsummers>	March
Dec 13 16:31:19 <NeddySeagoon>	quantumsummers, Nominations Feb, voting March
Dec 13 16:31:23 <quantumsummers>	yep Feb is quite apropos 
Dec 13 16:31:38 <NeddySeagoon>	8 Any other business
Dec 13 16:31:44 <robbat2|na>	none from me
Dec 13 16:31:45 <NeddySeagoon>	I've already done mine
Dec 13 16:31:54 <dabbott>	noone here
Dec 13 16:32:04 <tsunam>	nada
Dec 13 16:32:05 <quantumsummers>	I have none
Dec 13 16:32:17 <NeddySeagoon>	9. Open Floor
Dec 13 16:32:59 *	NeddySeagoon declares the meeting closed
