**** BEGIN LOGGING AT Sun Oct 11 12:00:02 2009

Oct 11 12:00:02 NeddySeagoon	hi quantumsummers dabbott robbat2|na 
Oct 11 13:26:23 quantumsummers	robbat2: your email is finicky 
Oct 11 13:26:41 robbat2	odd, just throw it on dev in your homedir locked up and give me a path
Oct 11 13:26:45 robbat2	i'll pick it up later
Oct 11 13:26:57 quantumsummers	ok
Oct 11 13:27:18 robbat2	so I need to clean up the foundation minutes
Oct 11 13:27:24 robbat2	summaries proposed as optional
Oct 11 13:27:28 NeddySeagoon	quantumsummers, that tarball was encrypted for you
Oct 11 13:27:50 quantumsummers	oh, it was encrypted. didn't realize that
Oct 11 13:28:03 quantumsummers	ok, I'll fix it up for you robbat2
Oct 11 13:28:15 robbat2	any other questions or comments re me cleaning that stuff up?
Oct 11 13:28:27 NeddySeagoon	no
Oct 11 13:28:27 quantumsummers	my only comment: THANKS!!
Oct 11 13:28:32 robbat2	dabbott?
Oct 11 13:28:36 NeddySeagoon	... and thanks
Oct 11 13:28:42 dabbott	same here thanks robbat2 
Oct 11 13:28:52 NeddySeagoon	put it down to a cvs beginner
Oct 11 13:29:04 robbat2	ok, onto open bugs
Oct 11 13:29:10 robbat2	http://xrl.us/bfqrc8
Oct 11 13:29:33 robbat2	bug 239302
Oct 11 13:29:36 Willikins	robbat2: https://bugs.gentoo.org/239302 "wrong description of Gentoo Vendors site and strange reference to Gentoo Store"; Doc Other, Other; NEW; micm@g.o:trustees@g.o
Oct 11 13:29:40 robbat2	assigned to me from earlier in the meeting
Oct 11 13:29:48 robbat2	bug 287859
Oct 11 13:29:50 Willikins	robbat2: https://bugs.gentoo.org/287859 "[Unlicenced Vendor]  linuxcd.org"; Gentoo Linux, Unspecified; NEW; dabbott@g.o:trustees@g.o
Oct 11 13:30:00 robbat2	for quantumsummers, earlier in the meeting as well
Oct 11 13:30:07 quantumsummers	got it
Oct 11 13:30:09 robbat2	bug 284224
Oct 11 13:30:12 Willikins	robbat2: https://bugs.gentoo.org/284224 "Summer of Code changes in reimbursement"; Gentoo Linux, Unspecified; NEW; dberkholz@g.o:trustees@g.o
Oct 11 13:30:22 quantumsummers	that appears to be going well
Oct 11 13:30:34 robbat2	tsunam_, mailed the cheques, so we get to wait for postal service
Oct 11 13:30:40 robbat2	RESO LATER
Oct 11 13:30:50 robbat2	bug 287435  
Oct 11 13:30:52 Willikins	robbat2: https://bugs.gentoo.org/287435 "Wallpaper images for Gentoo Ten by Ben Stedman"; Gentoo Foundation, Proposals; ASSI; quantumsummers@g.o:trustees@g.o
Oct 11 13:30:59 *	quantumsummers will handle that as well
Oct 11 13:31:07 robbat2	it wasn't clear from the bug what the point of the bug was
Oct 11 13:31:19 quantumsummers	main point, get Ben to sign off on giving us the artwork
Oct 11 13:31:40 quantumsummers	which he has verbally to me
Oct 11 13:31:48 quantumsummers	sorry if that is unclear
Oct 11 13:32:16 robbat2	what license did it get put under?
Oct 11 13:33:04 quantumsummers	well at this point there is no lic, Ben doesn't care about that at all. So we have been given rights, we should decide the lic
Oct 11 13:33:19 robbat2	my gimp can't open the photoshop files
Oct 11 13:33:28 quantumsummers	I created the bug so we can keep track of things.
Oct 11 13:33:46 quantumsummers	hmm, not sure what to tell you robbat2
Oct 11 13:33:56 NeddySeagoon	we need a record of the donation
Oct 11 13:34:02 quantumsummers	exactly
Oct 11 13:34:10 NeddySeagoon	can we get Ben to comment on the bug ?
Oct 11 13:34:23 quantumsummers	yes, I had him sign up for an account
Oct 11 13:34:34 quantumsummers	I'll take care of the details next week
Oct 11 13:34:40 robbat2	CC-BY-SA, with a special thanks from the board to Ben
Oct 11 13:34:40 NeddySeagoon	ok
Oct 11 13:34:59 quantumsummers	makes sense to me
Oct 11 13:35:08 dabbott	second
Oct 11 13:35:15 quantumsummers	my gimp opened the file just fine btw
Oct 11 13:35:24 dabbott	mine also
Oct 11 13:35:26 quantumsummers	2.6.3
Oct 11 13:35:32 quantumsummers	2.6.4 rather
Oct 11 13:36:10 dabbott	 media-gfx/gimp-2.6.7  USE="alsa curl dbus gnome hal jpeg mmx pdf png python sse svg tiff -aalib (-altivec) -debug -doc -exif -lcms -mng -smp -webkit -wmf" 0 kB
Oct 11 13:36:22 NeddySeagoon	robbat2, works for me
Oct 11 13:36:33 robbat2	weird
Oct 11 13:36:57 NeddySeagoon	the CC-BY-SA, with a special thanks from the board to Ben licence
Oct 11 13:37:24 robbat2	CC-BY-SA for the license, with the attribution noted as Gentoo and Ben Stedman
Oct 11 13:37:45 robbat2	so his name gets noted in all usages per the BY clause :-)
Oct 11 13:37:54 robbat2	and the thanks from the board is seperate
Oct 11 13:37:54 quantumsummers	I think he'll be happy with that
Oct 11 13:38:24 robbat2	quantumsummers, since you're handling him, just look on the creative commons site, there's a helper tool to do it
Oct 11 13:38:32 quantumsummers	robbat2: just a hunch, but it might be lcms you need in USE
Oct 11 13:38:42 quantumsummers	robbat2: yes, thanks
Oct 11 13:38:59 quantumsummers	we'll have that closed this week.'
Oct 11 13:39:15 quantumsummers	where can I put the files for long term storage?
Oct 11 13:39:17 robbat2	or if need help beyond that, give me a yell, i've got some good contacts that are employed by CC
Oct 11 13:39:26 quantumsummers	kk
Oct 11 13:39:56 robbat2	hang onto them for the moment, i might have that side solved soon for you
Oct 11 13:40:06 quantumsummers	ok, thanks
Oct 11 13:40:25 robbat2	thats all the bugs
Oct 11 13:40:31 robbat2	new business
Oct 11 13:40:34 robbat2	- Live DVD dvd covers funding?
Oct 11 13:40:48 robbat2	not sure who's running that one
Oct 11 13:41:03 robbat2	dabbott, quantumsummers?
Oct 11 13:41:17 quantumsummers	hmm.
Oct 11 13:41:28 NeddySeagoon	I need to go ... I may be around odd times
Oct 11 13:41:30 quantumsummers	I am unsure what that means
Oct 11 13:41:36 robbat2	before you vanish
Oct 11 13:41:40 robbat2	NeddySeagoon
Oct 11 13:41:47 dabbott	I can jump in, there has been some interest in printed media for conventions etc
Oct 11 13:41:49 robbat2	vote to approve membership of new dev ABCD
Oct 11 13:41:58 quantumsummers	ok, NeddySeagoon, have a fine Sunday evening :) nice to have you with us.
Oct 11 13:42:11 quantumsummers	aye, re: ABCD
Oct 11 13:42:17 robbat2	aye
Oct 11 13:42:21 dabbott	bye NeddySeagoon 
Oct 11 13:42:27 dabbott	yes for ABCD
Oct 11 13:42:34 quantumsummers	his note of request was really funny
Oct 11 13:42:42 robbat2	and I think we just missed neddy anyway
Oct 11 13:43:02 quantumsummers	well, we hav a majorty
Oct 11 13:43:16 quantumsummers	ABCD is a member now. very  nice
Oct 11 13:43:23 robbat2	passed
Oct 11 13:43:24 quantumsummers	I shall notify his
Oct 11 13:43:28 quantumsummers	*him
Oct 11 13:43:29 robbat2	going back to the funding
Oct 11 13:43:33 robbat2	dabbott, your floor
Oct 11 13:43:34 quantumsummers	ok
Oct 11 13:44:31 dabbott	would be nice to have some nice covers to put on the dvd
Oct 11 13:44:31 *	quantumsummers has to take care of something for a sec. please continue, I'll return in <4 mins
Oct 11 13:44:48 robbat2	we've got the artwork already
Oct 11 13:45:05 robbat2	so that's related to actually stocking the store then
Oct 11 13:45:12 robbat2	or getting print-on-demand better
Oct 11 13:45:48 dabbott	yes, but also to give to dev's 
Oct 11 13:46:12 robbat2	i'll be blunt re giving media to devs
Oct 11 13:46:35 robbat2	the north american conference scene is pretty dead in my opinion
Oct 11 13:47:19 robbat2	LWE flopped because the organizers wanted to charge the community booths $2k each
Oct 11 13:47:26 robbat2	where it had been free before
Oct 11 13:49:22 quantumsummers	WOW $2k?!!!
Oct 11 13:49:25 robbat2	Linux Symposium was very hard hit by the recession. Plumbers was reasonable, and apparently LinuxCon was ok (i didn't attend it)
Oct 11 13:50:12 robbat2	that leaves us with the more regional events like LinuxFest NW
Oct 11 13:50:35 dabbott	I will look into something for the store but cafepress only has certain items and I don't think cd dvd covers/ stickers are one of them 
Oct 11 13:50:55 robbat2	dabbott, please also look at the history of cafepress with gentoo CD befores
Oct 11 13:51:01 robbat2	s/s$//
Oct 11 13:51:05 quantumsummers	I know solar was upset by us not funding printing, however, its too expensive at the moment
Oct 11 13:51:27 robbat2	they have been fine for merchanise as they cover the production of that
Oct 11 13:51:41 robbat2	the handling of CDs before was, in short, a trainwreck by cafepress
Oct 11 13:52:02 quantumsummers	perhaps we should locate another vendor for disks?
Oct 11 13:52:17 quantumsummers	one that can handle things better
Oct 11 13:52:19 robbat2	at least 25% of the manufactured stock that was shipped to them got lost, potentially by them
Oct 11 13:52:27 dabbott	The dvd may be an item you would want to sell, who would you suggest sell them
Oct 11 13:52:55 quantumsummers	no idea about a new vendor, though I can look into it
Oct 11 13:53:35 quantumsummers	I do know of a company that wants to do some new stuff for us in the tshirts & other schwag area
Oct 11 13:53:57 quantumsummers	they would handle drop shipping, etc
Oct 11 13:54:15 quantumsummers	good quality too, american apparel shirts cheaper than the cafe press crap
Oct 11 13:54:38 robbat2	sure, we can look at that
Oct 11 13:54:39 quantumsummers	there would be some upfront costs to us though
Oct 11 13:54:57 quantumsummers	its a small shop, but they do nice work
Oct 11 13:55:00 dabbott	lets discuss this on the -ml and we can cont next meeting
Oct 11 13:55:06 quantumsummers	ok
Oct 11 13:55:13 robbat2	next item is:
Oct 11 13:55:16 robbat2	- License Allowed on Live DVD
Oct 11 13:55:51 quantumsummers	what does that mean?
Oct 11 13:55:51 dabbott	I am asking about firmware for wireless mainly
Oct 11 13:55:56 quantumsummers	ah, I see
Oct 11 13:56:16 quantumsummers	ok, this is an area we need some clarification
Oct 11 13:56:19 robbat2	if the license allows redistribution
Oct 11 13:56:22 robbat2	then we are fine
Oct 11 13:56:30 quantumsummers	also for nvidia display drivers, etc
Oct 11 13:56:45 quantumsummers	is that restricted?
Oct 11 13:56:59 quantumsummers	I think the intel stuff is ok to redist
Oct 11 13:57:26 robbat2	nvidia is ok too
Oct 11 13:57:38 robbat2	they have an explicit clause in their license allowing it
Oct 11 13:58:06 quantumsummers	nice, that would be a solid addition
Oct 11 13:58:18 quantumsummers	dabbott: will you inform likewhoa of that?
Oct 11 13:58:29 dabbott	yes
Oct 11 13:58:50 robbat2	if he wants to ask me about specific packages, send him my way
Oct 11 13:58:54 robbat2	probably via email for the questions
Oct 11 13:59:05 dabbott	ok ty robbat2 
Oct 11 13:59:26 robbat2	i have been doing some outside consulting for companies recently on GPL and other open-source licensing issues
Oct 11 13:59:44 robbat2	being compliant isn't hard if you think about it early
**** BEGIN LOGGING AT Sun Oct 11 14:00:54 2009

Oct 11 14:00:54 dabbott	robbat2, look at this one about haft way down http://forums.gentoo.org/viewtopic-t-793820-postdays-0-postorder-asc-start-125.html
Oct 11 14:01:21 dabbott	s/haft/half
Oct 11 14:01:58 quantumsummers	rt73?
Oct 11 14:02:59 quantumsummers	looks fine to me, as long as that lic is included
Oct 11 14:03:03 robbat2	one change to the ebuild and it's easy to make that one fully compliant
Oct 11 14:03:29 robbat2	specifically, install a copy of the license to the filesystem
Oct 11 14:03:36 quantumsummers	yep
Oct 11 14:03:38 robbat2	do NOT rely on /usr/portage being present
Oct 11 14:03:55 robbat2	i already do that for the qlogic fibrechannel firmware
Oct 11 14:04:46 robbat2	sys-block/qla-fc-firmware
Oct 11 14:04:49 robbat2	just follow that package
Oct 11 14:05:22 robbat2	any more questions?
Oct 11 14:05:39 robbat2	once
Oct 11 14:05:44 quantumsummers	lol
Oct 11 14:05:46 robbat2	twice
Oct 11 14:05:59 dabbott	what is the proper place to store the license /usr/share/licenses ?
Oct 11 14:06:06 robbat2	I just use dodoc
Oct 11 14:06:39 robbat2	next item: # Date of Next Meeting - 15th Nov 2009 19:00 UTC
Oct 11 14:06:51 robbat2	neddy was concerned of it having to shift maybe due to daylight savings
Oct 11 14:07:15 quantumsummers	I'm good with that date, we can always hold the meeting earlier
Oct 11 14:07:31 dabbott	fine by me, time can change
Oct 11 14:08:41 quantumsummers	so, shall we change it to 1800 UTC?
Oct 11 14:09:06 robbat2	i think push it to the list, since it was neddy that was concerned
Oct 11 14:09:17 quantumsummers	ok, that werkz
Oct 11 14:09:18 dabbott	sure is that better for Roy
Oct 11 14:09:41 robbat2	his main concern was the DST shifts at a different date for US/EU
Oct 11 14:09:48 quantumsummers	well, that time would be earlier in the evening for Roy.
Oct 11 14:09:48 robbat2	but UTC is constant
Oct 11 14:10:05 quantumsummers	lets figure it out over mail
Oct 11 14:10:08 robbat2	yeah
Oct 11 14:10:19 robbat2	any other business?
Oct 11 14:10:22 robbat2	nearly done now
Oct 11 14:10:26 quantumsummers	not from me
Oct 11 14:10:50 dabbott	yes, 1 thing
Oct 11 14:10:53 robbat2	one quick item from me too
Oct 11 14:10:55 robbat2	dabbott, go first
Oct 11 14:11:15 dabbott	I can do the agenda each week
Oct 11 14:11:28 quantumsummers	s/week/month
Oct 11 14:11:33 dabbott	each month sorry a week ahead of the meeting
Oct 11 14:11:53 quantumsummers	+1
Oct 11 14:11:53 dabbott	mail it to the list for updates
Oct 11 14:11:55 robbat2	can we have a mid-month agenda planning too?
Oct 11 14:12:04 robbat2	so just basically mail it out every 2 weeks
Oct 11 14:12:05 quantumsummers	+1
Oct 11 14:12:15 quantumsummers	that's a good idea
Oct 11 14:12:15 robbat2	we've had some items just stick when they were done
Oct 11 14:12:17 dabbott	yes
Oct 11 14:12:28 quantumsummers	ya sold me
Oct 11 14:13:07 robbat2	dabbott, approved. looking forward to reading it next week :-)
Oct 11 14:13:08 quantumsummers	dabbott: thanks for volunteering
Oct 11 14:13:15 robbat2	so from me
Oct 11 14:13:21 quantumsummers	yessir
Oct 11 14:13:24 dabbott	ok
Oct 11 14:13:25 robbat2	infra & sponsor interaction: we've gained 7 boxes so far this year
Oct 11 14:13:30 quantumsummers	nice
Oct 11 14:13:39 robbat2	there's a potential for 2 more that i'm talking with a potential new sponsor now
Oct 11 14:13:47 robbat2	but it's going to depend on the sidebar
Oct 11 14:13:51 quantumsummers	ok
Oct 11 14:14:01 quantumsummers	they want what?
Oct 11 14:14:09 robbat2	tsunam_ started collecting some sponsor info before
Oct 11 14:14:21 robbat2	but it's kind of lapsed, so I wanted to see what he was actually after
Oct 11 14:14:30 robbat2	since I interact with the sponsors the most
Oct 11 14:14:37 quantumsummers	I see.
Oct 11 14:14:58 dabbott	looks like 3 nice open spots on the sidebar :)
Oct 11 14:16:03 robbat2	actually we have zero open spots
Oct 11 14:16:12 robbat2	we have to handle the shortest length of any page
Oct 11 14:16:25 robbat2	with gives us 7 spots titak
Oct 11 14:16:26 robbat2	total
Oct 11 14:16:34 robbat2	there's about 10 requests right now
Oct 11 14:16:51 quantumsummers	robbat2: we need a little script to rotate that stuff
Oct 11 14:16:59 robbat2	i've been poking at OpenX for a potential ad serving setup
Oct 11 14:17:03 robbat2	but I can't say that i'm happy with it
Oct 11 14:17:16 quantumsummers	that is really large for our needs
Oct 11 14:17:31 robbat2	i was looking at it's lightweight HTML-render mode
Oct 11 14:17:38 robbat2	to throw in an iframe
Oct 11 14:17:44 quantumsummers	no JS?
Oct 11 14:17:48 robbat2	zero JS
Oct 11 14:17:55 quantumsummers	ok, fine by me
Oct 11 14:17:57 robbat2	that's one of my requirements
Oct 11 14:18:03 quantumsummers	makes sense
Oct 11 14:18:18 robbat2	just wondered if anybody else had suggestions
Oct 11 14:18:32 quantumsummers	something like this http://code.google.com/p/django-ad-server/
Oct 11 14:18:52 quantumsummers	I can take a look, we;ve been asked to produce one for a client that uses an iframe
Oct 11 14:19:11 quantumsummers	ha, that proj has no code 
Oct 11 14:19:11 robbat2	ok, i'll talk to you on it then
Oct 11 14:19:30 robbat2	open floor time
Oct 11 14:19:33 quantumsummers	its a really simple prob to solve in short oder
Oct 11 14:19:38 quantumsummers	*order*
Oct 11 14:19:51 robbat2	keeping the advertisers happy is the complex part ;-)
Oct 11 14:20:17 quantumsummers	right. of course. can you send me your known requirements?
Oct 11 14:20:31 robbat2	will do
Oct 11 14:20:52 robbat2	judging by the silence, i guess we have nothing for open floor
Oct 11 14:20:58 robbat2	or we've put them all to sleep
Oct 11 14:21:03 robbat2	sorry about the length of this
Oct 11 14:21:17 robbat2	once
Oct 11 14:21:22 quantumsummers	lol, 2.33 hours
Oct 11 14:21:33 quantumsummers	not bad relly
Oct 11 14:21:39 *	quantumsummers cannot type today
Oct 11 14:21:42 dabbott	thanks for chairing robbat2 
Oct 11 14:21:50 quantumsummers	yes thanks Robin
Oct 11 14:22:59 quantumsummers	robbat2: here is something to look at, its a tad large, but the idea is nice http://github.com/lethain/django-monetize
Oct 11 14:23:26 robbat2	later
Oct 11 14:23:28 robbat2	closing the meeting now
