Feb 05 19:00:21 <tseng>	sure, here we go.
Feb 05 20:19:03 <karltk>	danarmak: so there will not be a 100% overlap of the localisable text present in the textmode and the graphical mode frontends.
Feb 05 20:19:24 <npmccallum>	danarmak: being that there will be many FEs designed for different purposes (web interface, Desktop, Newbie install, etc) they probably won't share much text at all
Feb 05 20:19:33 <dams>	plop
Feb 05 20:19:35 <esammer>	there are a number of provisions for l10n and text databases. i don't foresee a problem here.
Feb 05 20:19:50 <danarmak>	esammer: the only problems are with display, not storage
Feb 05 20:19:55 <danarmak>	afaik anyway
Feb 05 20:20:10 <danarmak>	look fex at how kde does things:
Feb 05 20:20:17 <esammer>	danarmak: well, i know it can be done and that's all that's really important right now.
Feb 05 20:20:31 <danarmak>	when using l10n for hebrew, which is right-to-left, it also reverses the direction of widgets like trees...
Feb 05 20:20:38 <danarmak>	so just an idea to think over :-) thanks.
Feb 05 20:21:12 <esammer>	danarmak: absolutely. we will certainly support as many languages as humanly possible with as many UIs as possible.
Feb 05 20:21:14 <npmccallum>	widgets are a long way away, we need API first
Feb 05 20:21:14 <Luke-Jr>	So this is GLIS-based or are you actually going to recreate what I already started?
Feb 05 20:21:16 <karltk>	danarmak: we'll obviously have to recruit some i18n guys; I know graphical mode is easy enough, but is there a hebrew console?;)
Feb 05 20:21:34 <karltk>	Luke-Jr: we'll reuse all the good ideas.
Feb 05 20:21:45 <spy|lab>	Luke-Jr: check out the design doc and others on the homepage in topic
Feb 05 20:21:48 <npmccallum>	Luke-Jr, we aren't reusing code however
Feb 05 20:21:51 <Luke-Jr>	spy|lab: I did.
Feb 05 20:21:57 <danarmak>	karltk: there's a good english+hebrew console via hebrew<->ascii mapping. i've never seen a unicode console, or a unicode console font.
Feb 05 20:22:08 <karltk>	Luke-Jr: but as we have different requirements than what GLIS did, we can't reuse much code.
Feb 05 20:23:01 <Luke-Jr>	karltk: Mine wasn't GLIS-based nor compatible.
Feb 05 20:23:07 <klieber>	nor usable
Feb 05 20:23:08 <klieber>	but anyway
Feb 05 20:23:12 <karltk>	danarmak: ok. well, I can't tell you more than that we really want this to be handled well, but that we'll have to do an initial prototype on the basic stuff first. we may then do a new prototype (or several) on how to i18n the beast:)
Feb 05 20:23:26 <Luke-Jr>	klieber: Nor is any project usable until it reaches a certain stage
Feb 05 20:23:42 <spy|lab>	Luke-Jr, klieber: can you please save your arguments for a different time or forum
Feb 05 20:23:59 <karltk>	Luke-Jr: we've mostly abandonded the code from the nine previous installer attempts.
Feb 05 20:24:56 <karltk>	Luke-Jr: since you read the design docs, and I don't have cvs on this box I'm at currently, do you know if there are pieces of your installer project that would be reusable in GLI?
Feb 05 20:24:58 <Luke-Jr>	karltk: Based on the docs, it looks like you could possibly be rewriting the one I am working on.
Feb 05 20:25:09 <bion>	is this going to be another "failed" attempt?
Feb 05 20:25:24 <bion>	shouldn't everyone interrested actually be involved?
Feb 05 20:25:42 *	karltk has to leave now.
Feb 05 20:25:44 <tseng>	thats an odd question
Feb 05 20:25:50 <spy|lab>	bye karltk
Feb 05 20:25:55 <esammer>	are there any other questions?
Feb 05 20:26:02 <tseng>	no, we dont expect this attempt to fail, certainly
Feb 05 20:26:03 <Luke-Jr>	karltk: I was using stdin/out between 2 processes as an API. It's possible that the GUIs could be merged to use either API.
Feb 05 20:26:04 <karltk>	esammer: will you write up the log and post it to -installer?
Feb 05 20:26:09 <esammer>	karltk: yes
Feb 05 20:26:13 <karltk>	Luke-Jr: where does it live?
Feb 05 20:26:22 <tseng>	bion: we've recruited developers from the 3 successful installer projects to lend ideas/expertise
Feb 05 20:26:28 <Luke-Jr>	karltk: ATM, on my PC.
Feb 05 20:26:37 <Luke-Jr>	karltk: or in the gentoo CVS Attic
Feb 05 20:26:51 <karltk>	Luke-Jr: can you mail a snapshot to karltk@gentoo.org, (don't use outlook, or it'll go do /dev/null;)
Feb 05 20:27:13 <--	Luke-Jr has quit (Client Quit)
Feb 05 20:27:15 <bion>	tseng: this is going to be xml based?
Feb 05 20:27:24 <johnm>	karltk: thats quite offensive :)
Feb 05 20:27:26 -->	Luke-Jr (~luke-jr@198.248.39.176) has joined #gentoo-installer
Feb 05 20:27:26 <tseng>	bion: a bit, its fairly well outlined in the doc
Feb 05 20:27:45 <karltk>	johnm: the only outlook mails with attachments I get are virii anyway.
Feb 05 20:27:52 <bion>	i have read the doc
Feb 05 20:28:41 <spy|lab>	karltk: http://www.gentoo.org/cgi-bin/viewcvs.cgi/users/luke-jr/ingen/?cvsroot=gentoo
Feb 05 20:28:45 <Luke-Jr>	karltk: k, but when using be sure you're in a chroot unless you've commented out some code. it does attempt to do part of the install.
Feb 05 20:28:59 <karltk>	Luke-Jr: will do
Feb 05 20:29:02 <esammer>	bion: two of the files can be serialized to xml, but i don't think that makes the instaler "xml based"
Feb 05 20:29:02 <karltk>	spy|lab: thx
Feb 05 20:29:05 <tseng>	bion: we are mostly looking at xml for the stored profiles
Feb 05 20:29:27 <johnm>	karltk: i hate how outlook shows pgp signatures as attachments
Feb 05 20:29:34 <bion>	okay, im stupid, and ask questions in stupid ways
Feb 05 20:29:42 <tseng>	nps.
Feb 05 20:29:45 <bion>	the profiles will be stored in xml?
Feb 05 20:29:52 <tseng>	ideally, yes
Feb 05 20:29:58 <esammer>	bion: yes.
Feb 05 20:29:59 <npmccallum>	bion: only if you so desire
Feb 05 20:30:08 <npmccallum>	the profiles don't have to be stored at all
Feb 05 20:30:30 <[dx]anti>	Hmm what about profiles stored in a database?
Feb 05 20:30:32 <bion>	well, i would only use this installer for installing multiple machines easier
Feb 05 20:30:48 <bion>	so i would no doubtidly need to have stored profiles
Feb 05 20:30:49 <esammer>	[dx]anti: probably not. it is way too much overhead for something like this.
Feb 05 20:31:00 <tseng>	[dx]anti: we were looking at profiles stored on rsync
Feb 05 20:31:07 <esammer>	bion: in taht case, yes.
Feb 05 20:31:15 <tseng>	for a server farm deal
Feb 05 20:31:17 <bion>	yes
Feb 05 20:31:21 <esammer>	bion: out of curiousity, does it matter what format the profiles are in?
Feb 05 20:31:27 <[dx]anti>	esammer, Well I'm thinking about the environment which I work in, hundreds of thousands of servers. Right now we have Solaris doing a similar kickstart install and pulls down build info off a database.
Feb 05 20:31:29 <iggy>	is that a no, or a we don't plan on implementing it, but if someone else wants to...
Feb 05 20:31:50 <--	Luke-Jr has quit (Client Quit)
Feb 05 20:31:52 <[dx]anti>	esammer, I've been trying to push my company into supporting Gentoo linux, right now we only support RedHat. But things like this installer and Gentoo Enterprise are starting to raise some eyebrows.
Feb 05 20:31:59 <esammer>	[dx]anti: i'm sure you could customize the installer to do so, yes.
Feb 05 20:32:00 <bion>	no, but xml would make a php frontend(for example) to reload machines through a request system, extremely easy
Feb 05 20:32:15 -->	Luke-Jr (~luke-jr@198.248.39.176) has joined #gentoo-installer
Feb 05 20:32:18 <esammer>	bion: ah, i see.
Feb 05 20:32:25 <esammer>	bion: then consider it easy! :)
Feb 05 20:32:30 <bion>	heh
Feb 05 20:33:34 *	Luke-Jr pokes xchat
Feb 05 20:33:52 <esammer>	[dx]anti: ideally, you'll be able to extend datasources and things like that to work the way you want.
Feb 05 20:34:09 <esammer>	[dx]anti: but i don't see *us* adding support for mysql or postgres, atm, no.
Feb 05 20:35:17 <[dx]anti>	esammer, *us* being gentoo developers?
Feb 05 20:35:17 <klieber>	[dx]anti: in what case would a database be preferred over flat files wrt this project?
Feb 05 20:35:38 <esammer>	[dx]anti: the -installer team, yes.
Feb 05 20:35:41 <klieber>	[dx]anti: unless you're managing *thousands* of profiles, I don't see the added overhead being worth it
Feb 05 20:35:55 <[dx]anti>	klieber, We do heh
Feb 05 20:36:10 <bion>	will the profiles be able to be loaded from any location(local, nfs,.. possibly ftp or http?)
Feb 05 20:36:19 <esammer>	[dx]anti: that said, it's something we'll make possible with subclasses
Feb 05 20:36:24 <[dx]anti>	klieber, I'm just giving my perspective from where I work hehe
Feb 05 20:36:26 <esammer>	bion: yes
Feb 05 20:36:32 <esammer>	bion: http(s), ftp, rsync, etc.
Feb 05 20:36:38 <[dx]anti>	esammer, yeah
Feb 05 20:37:00 <iggy>	klieber: OT is -enterprise on irc anywhere?
Feb 05 20:37:10 <klieber>	it's not enterprise.
Feb 05 20:37:11 <bion>	is the coding underway? or is the project still in design?
Feb 05 20:37:14 <klieber>	#gentoo-server
Feb 05 20:37:25 <esammer>	[dx]anti: now that i think about it, there would be little to stop someone from adding a subclass the profile loader (or whatever) and have it pull from any datasource you'd like.
Feb 05 20:37:54 <esammer>	bion: this meeting marks the end of the super highlevel design and the beginning of prototype work
Feb 05 20:38:10 <bion>	where will the home of the project be in cvs?
Feb 05 20:38:24 <klieber>	gentoo/src/installer
Feb 05 20:38:28 <esammer>	bion: /gentoo/src/installer
Feb 05 20:39:53 <[dx]anti>	So what language, Python I would imagine?
Feb 05 20:39:59 <esammer>	[dx]anti: yes
Feb 05 20:41:05 <johnm>	esammer: i have a small question If I may, but it's kind of off topic in some respects.
Feb 05 20:41:49 <esammer>	johnm: shoot
Feb 05 20:42:49 <enriQUE_>	Anybody having any view on Mozilla/XUl for GUI frontend?
Feb 05 20:42:56 <johnm>	esammer: Can we make the profiles reusable. in the sense that we can run a seperate profile through a seperate module which will configure the bases system only. the reason i say this is because we can have a daemon style frontend running on the boxes once they're rolled out. and if we so desire using a client tool, we can push profiles out to boxes at different times, and it will make appropriate changes
Feb 05 20:43:09 <johnm>	ie: turn a webserver into a mail server, style thin
Feb 05 20:43:32 <johnm>	of course configuration (maybe a file system snapshot style thing) would have to be given as well and thats between server/client mostly.
Feb 05 20:43:36 <esammer>	johnm: ah, you mean to "diff" two profiles and make changes?
Feb 05 20:43:45 <johnm>	very similar yes.
Feb 05 20:43:54 <npmccallum>	enriQUE_, we are not working on GUIs yet because there is no API
Feb 05 20:44:00 <johnm>	so if you have this running on a network of 10,000 boxes and you want to upgrade them all say
Feb 05 20:44:14 <johnm>	or turn 2 or 3 into different "profile" boxes you can do it from a central location.
Feb 05 20:44:17 <johnm>	this is post-install
Feb 05 20:44:41 *	Luke-Jr thinks that would be a Portage interface...
Feb 05 20:44:57 <johnm>	distributing the configs for said boxes is a slightly different issues, but the framework for the installer sounds like it could handle the bulk of this work anyways.
Feb 05 20:45:04 <esammer>	johnm: this was dicussed briefly. klieber was the one who brought it up. i think it's *possible* but may fall outside the scope of the installer. that is more of a system management issue. now, we might extend the installer in that direction at somepoint, but initially, no.
Feb 05 20:45:12 <johnm>	Luke-Jr: that was the original idea i proposed for portage-ng API. but this is semi-related
Feb 05 20:45:45 <johnm>	esammer: thats alright, I'm not speaking as an initial design point. but simply, in case portage-ng never gets anywhere or so on.
Feb 05 20:46:18 <johnm>	esammer: again, i do think you should also concentrate on the portage-ng point i raised a little as well. with it being the next generation of what is essentially the installers most important foundation work.
Feb 05 20:46:24 <klieber>	johnm: what you just described is (if I"m understanding it correctly) largely what cfengine does/can do.  I'm happy to talk that with you offline if you want.
Feb 05 20:46:25 <spy|lab>	esammer: klieber brought that up? i thought it was me. maybe we both did
Feb 05 20:46:25 <esammer>	johnm: personally, i would like to see such management functionality in some application. if the installer 'migrates' that way in terms of features, i won't prevent it, myself.
Feb 05 20:46:34 <johnm>	esammer: although at this stage it's very much theoretical
Feb 05 20:46:38 <esammer>	spy|lab: ok, you too :)
Feb 05 20:46:44 <enriQUE_>	npmccallum: I meant more in a general term. I'm planning to get into how to develop with XUL as an base...
Feb 05 20:46:54 <johnm>	esammer: my thoughts exactly. it just seems like an appropriate framework
Feb 05 20:47:13 <johnm>	klieber: yeah it is quite similar to cfengine in many respects :)
Feb 05 20:47:17 <esammer>	johnm: right.
Feb 05 20:47:27 <johnm>	klieber: and yeah, i wouldn't mind having a word at some point if thats alright,
Feb 05 20:47:48 <johnm>	klieber: I've used it briefly, but never had the numbers to actually try it on
Feb 05 20:48:01 <npmccallum>	enriQUE_, like I said, we won't even start thinking about GUI until there is API
Feb 05 20:48:05 <esammer>	i think what you're talking about is cfengine + package system integration with network topology awareness. it's neat.
Feb 05 20:48:25 <enriQUE_>	npmccallum: oki doki... :)
Feb 05 20:51:00 <esammer>	are there any other questions before i stop logging and close this up "officially?"
